file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,5
style.css,2,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,33
style.css,3,css,dec74195,Anh Pham,2026-04-17,01:07:44,-07:00,2026-04-17T01:07:44-07:00,1,39
style.css,4,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,5,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,6,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,4
style.css,7,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,32
style.css,8,css,dec74195,Anh Pham,2026-04-17,01:07:44,-07:00,2026-04-17T01:07:44-07:00,1,23
style.css,9,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,10,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,11,css,fd0e4fe4,Anh Pham,2026-04-04,22:47:36,-07:00,2026-04-04T22:47:36-07:00,0,4
style.css,12,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,23
style.css,13,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,15
style.css,14,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,13
style.css,15,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,11
style.css,16,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,17,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,18,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,12
style.css,19,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,2
style.css,20,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,14
style.css,21,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,22,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,23,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,22
style.css,24,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,15
style.css,25,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,17
style.css,26,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,27,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,28,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,9
style.css,29,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,1
style.css,30,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,25
style.css,31,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,20
style.css,32,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,1,37
style.css,33,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,34,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,0
style.css,35,css,75f30b6e,Anh Pham,2026-04-10,18:06:48,-07:00,2026-04-10T18:06:48-07:00,0,16
